Title,Price,URL
Samsung A325F Galaxy A32 (4GB/64GB) Dual Sim LTE - Blue,669,https://alta.ge/images/thumbnails/270/250/detailed/228/117392_1.jpg?t=1616397040
Samsung A125F Galaxy A12 (3GB/32GB) Dual Sim LTE - Red,429,https://alta.ge/images/thumbnails/270/250/detailed/235/115460_1.jpg?t=1631017242
Samsung A525F Galaxy A52 (4GB/128GB) Dual Sim LTE - Blue,959,https://alta.ge/images/thumbnails/270/250/detailed/228/117405_1_wb77-mr.jpg?t=1617048936
Samsung A022G Galaxy A02 (2GB/32GB) Dual Sim LTE - Blue,299,https://alta.ge/images/thumbnails/270/250/detailed/226/116390_1.jpg?t=1613476250
Samsung Galaxy Fold3 5G (12GB/256GB) Black,5899,https://alta.ge/images/thumbnails/270/250/detailed/236/122219_1.jpg?t=1628772685
Apple iPhone 13 128GB Blue,2999,https://alta.ge/images/thumbnails/270/250/detailed/238/123479_1.jpg?t=1635860723
Xiaomi 11 Lite 5G NE (8GB/128GB) - Blue,999,https://alta.ge/images/thumbnails/270/250/detailed/240/124259_1.jpg?t=1635338812
Apple iPhone 13 Pro 128GB Graphite,3999,https://alta.ge/images/thumbnails/270/250/detailed/238/123458_1.jpg?t=1633976166
Xiaomi Redmi Note 11 Global Version (6GB/128GB) Dual Sim LTE - Gray,829,https://alta.ge/images/thumbnails/270/250/detailed/246/120000_1.jpg?t=1643262530
Apple iPhone 12 mini 64GB Purple (Model A2399),2129,https://alta.ge/images/thumbnails/270/250/detailed/230/118876_1_ok8w-lm.jpg?t=1629351767
Apple iPhone 13 mini 128GB Green,2649,https://alta.ge/images/thumbnails/270/250/detailed/248/129093_1.jpg?t=1647547711
Samsung A225F Galaxy A22 (4GB/128GB) Dual Sim LTE - Black,799,https://alta.ge/images/thumbnails/270/250/detailed/233/120596_1.jpg?t=1624689938
Xiaomi Redmi Note 10 Pro Global Version (8GB/128GB) Dual Sim LTE - Onyx ...,999,https://alta.ge/images/thumbnails/270/250/detailed/230/118834_1.jpg?t=1630002547
Apple iPhone 12 64GB Purple (Model A2403),2549,https://alta.ge/images/thumbnails/270/250/detailed/230/118875_1_jsx7-j3_fjlq-kh.jpg?t=1629351686
Xiaomi Redmi 9A Global Version (2GB/32GB) Dual Sim LTE Blue,349,https://alta.ge/images/thumbnails/270/250/detailed/214/110338_1.jpg?t=1606048880
Apple iPhone 13 Pro Max 128GB Alpine Green,4399,https://alta.ge/images/thumbnails/270/250/detailed/248/129086_1.jpg?t=1647547605
Apple iPhone 13 Pro 128GB Alpine Green,3999,https://alta.ge/images/thumbnails/270/250/detailed/248/129088_1_fi4z-nx_y2ch-nu_37z5-de.jpg?t=1647547605
Samsung Galaxy Flip3 5G (8GB/256GB) Black,3499,https://alta.ge/images/thumbnails/270/250/detailed/241/122215_1.png?t=1638389718
Apple iPhone 12 64GB Blue (Model A2403),2549,https://alta.ge/images/thumbnails/270/250/detailed/218/112594_1_o38k-vk.jpg?t=1608037131
Samsung S908B Galaxy S22 Ultra (12GB/256GB) LTE/5G Dual Sim - Phantom Black,4299,https://alta.ge/images/thumbnails/270/250/detailed/247/128081_1.jpg?t=1646399203
Apple iPhone 13 128GB Pink,2999,https://alta.ge/images/thumbnails/270/250/detailed/238/123477_1.jpg?t=1633671918
Apple iPhone 13 mini 128GB Midnight,2649,https://alta.ge/images/thumbnails/270/250/detailed/238/123490_1.jpg?t=1633671987
Samsung A022G Galaxy A02 (2GB/32GB) Dual Sim LTE - Red,299,https://alta.ge/images/thumbnails/270/250/detailed/226/116392_1.jpg?t=1613476250
Samsung A125F Galaxy A12 (3GB/32GB) Dual Sim LTE - Blue,429,https://alta.ge/images/thumbnails/270/250/detailed/235/115459_1.jpg?t=1629182396
Xiaomi Redmi Note 11 Global Version (4GB/64GB) Dual Sim LTE - Gray,699,https://alta.ge/images/thumbnails/270/250/detailed/246/120000_1_1c09-tb.jpg?t=1643262670
Samsung A125F Galaxy A12 (4GB/128GB) Dual Sim LTE - Black,599,https://alta.ge/images/thumbnails/270/250/detailed/235/115458_1_and1-2b.jpg?t=1631017242
Apple iPhone 13 Pro 128GB Gold,3999,https://alta.ge/images/thumbnails/270/250/detailed/238/123460_1.jpg?t=1633976166
ZTE Nubia Red Magic 6R (8GB/128GB) LTE/5G - Black,1499,https://alta.ge/images/thumbnails/270/250/detailed/243/125523_1.png?t=1639821759
Apple iPhone 12 mini 128GB Purple (Model A2399),2299,https://alta.ge/images/thumbnails/270/250/detailed/230/118876_1.jpg?t=1629351687
Xiaomi Redmi Note 11S Global Version (6GB/128GB) Dual Sim LTE - Gray,899,https://alta.ge/images/thumbnails/270/250/detailed/247/127943_1.jpg?t=1644948359
Samsung G990B Galaxy S21 FE (6GB/128GB) Dual Sim LTE/5G - Graphite      ,2199,https://alta.ge/images/thumbnails/270/250/detailed/245/126744_1.jpg?t=1642537605
Apple iPhone 13 mini 128GB Pink,2649,https://alta.ge/images/thumbnails/270/250/detailed/238/123502_1_zq9a-o7_xihh-vu.jpg?t=1633976133
Realme C11 2021 (2GB/32GB) Dual Sim LTE - Gray,299,https://alta.ge/images/thumbnails/270/250/detailed/233/120182_1.png?t=1624307039
Apple iPhone 13 Pro Max 256GB Graphite,4799,https://alta.ge/images/thumbnails/270/250/detailed/238/123442_1_hjaz-gk.jpg?t=1633671739
Apple iPhone 13 Pro Max 256GB Graphite,4799,https://alta.ge/images/thumbnails/270/250/detailed/238/123442_1_hjaz-gk.jpg?t=1633671739
Xiaomi POCO M4 PRO Global Version (4GB/64GB) Dual Sim LTE/5G - Black,699,https://alta.ge/images/thumbnails/270/250/detailed/243/125881.jpg?t=1640606503
Alcatel 1 (2020) 1GB/16GB Dual Sim LTE - Black,199,https://alta.ge/images/thumbnails/270/250/detailed/223/114790_1.jpg?t=1610539560
Apple iPhone 11 64GB (PRODUCT) RED (A2221-ZKMHDD3RMA),1899,https://alta.ge/images/thumbnails/270/250/detailed/225/102513_1.png?t=1611216406
Xiaomi Redmi Note 11 Global Version (4GB/64GB) Dual Sim LTE - Star Blue,699,https://alta.ge/images/thumbnails/270/250/detailed/247/127690_1.jpg?t=1645198831
Xiaomi POCO M4 PRO Global Version (6GB/128GB) Dual Sim LTE/5G - Blue,799,https://alta.ge/images/thumbnails/270/250/detailed/244/126326_1.jpg?t=1640682924
Apple iPhone 13 Pro Max 256GB Alpine Green,4799,https://alta.ge/images/thumbnails/270/250/detailed/248/129086_1_c8al-zp.jpg?t=1647547535
Samsung A525F Galaxy A52 (8GB/256GB) Dual Sim LTE - Blue,1199,https://alta.ge/images/thumbnails/270/250/detailed/228/117405_1.jpg?t=1619814613
Xiaomi Redmi Note 11 Global Version (4GB/128GB) Dual Sim LTE - Gray,779,https://alta.ge/images/thumbnails/270/250/detailed/246/120000_1_kyq6-nr.jpg?t=1644222928
Apple iPhone 13 mini 128GB (PRODUCT)RED,2649,https://alta.ge/images/thumbnails/270/250/detailed/238/123493_1.jpg?t=1633671923
Realme C11 2021 (2GB/32GB) Dual Sim LTE - Blue,299,https://alta.ge/images/thumbnails/270/250/detailed/233/120183_1.png?t=1624307040
Apple iPhone 13 Pro Max 256GB Sierra Blue,4799,https://alta.ge/images/thumbnails/270/250/detailed/238/123445_1_sfyv-sw_6qur-91.jpg?t=1633671739
Xiaomi Redmi Note 11 Global Version (4GB/128GB) Dual Sim LTE - Twilight ...,779,https://alta.ge/images/thumbnails/270/250/detailed/247/126871_1.jpg?t=1645431052
Samsung A125F Galaxy A12 (4GB/64GB) Dual Sim LTE - Red,499,https://alta.ge/images/thumbnails/270/250/detailed/235/115460_1_3fva-8t.jpg?t=1631391518
Apple iPhone 13 Pro Max 128GB Graphite,4399,https://alta.ge/images/thumbnails/270/250/detailed/238/123442_1_hjaz-gk_55rs-9c_cler-jn.jpg?t=1633671692
Apple iPhone 12 mini 64GB Green (Model A2399),2129,https://alta.ge/images/thumbnails/270/250/detailed/218/112612_1_ka9f-qo.jpg?t=1608040778
Apple iPhone 12 64GB White (Model A2403),2549,https://alta.ge/images/thumbnails/270/250/detailed/218/112592_1_r7xz-ob.jpg?t=1608036051
Xiaomi Redmi Note 10 Pro Global Version (8GB/128GB) Dual Sim LTE - Glaci...,999,https://alta.ge/images/thumbnails/270/250/detailed/230/118835_1_jew2-as.jpg?t=1629448890
Xiaomi Redmi Note 10S Global version (8GB/128GB) Dual Sim LTE - Blue,819,https://alta.ge/images/thumbnails/270/250/detailed/245/119997_1.jpg?t=1642796244
